comment_id,comment_text,foods
49336924.0,"من نظر بقیه دوستان رو خوندم اما متاسفانه بی توجه ازشون رد شدم، کیفیت بسیار بسیار بسیار بسیااااارررر پایین....افتضاح.
حتی یک درصد هم ریسک نکنین و سفارش ندین.","[{'title': 'ساندویچ سوسیس هات داگ'}, {'title': 'دبل برگر'}]"
47865968.0,سوخته بود,"[{'title': 'ساندویچ پیتزا'}, {'title': 'نوشابه بطری پپسی'}]"
39471901.0,عالییییی,"[{'title': 'ساندویچ خوراک بندری'}, {'title': 'سس کچاپ (اضافه)'}, {'title': 'سس مایونز (اضافه)'}, {'title': 'نان باگت (اضافه)'}, {'title': 'نوشابه خانواده پپسی'}]"
39099263.0,خیلی خوشمزه بود ممنون,"[{'title': 'سیب زمینی سرخ شده'}, {'title': 'سس کچاپ (اضافه)'}, {'title': 'همبرگر معمولی'}, {'title': 'نان باگت (اضافه)'}, {'title': 'نوشابه بطری سون آپ'}]"
38758155.0,اصلا بدرد نمیخورد خیلی کالباساش مزه بدی میداد,"[{'title': 'ساندویچ خوراک بندری'}, {'title': 'ماءالشعیر خانواده عالیس استوایی'}, {'title': 'ساندویچ کالباس لیونر سرد'}]"
43992117.0,سس نذاشته بودید,"[{'title': 'همبرگر معمولی'}, {'title': 'سس کچاپ (اضافه)'}, {'title': 'نوشابه بطری پپسی'}]"
37486236.0,بسیار بی کیفیت بود و بیشترش نون خالی بود کیفیت سوسیس و کالباس افتضاح بود,"[{'title': 'ساندویچ خوراک بندری'}, {'title': 'سس مایونز (اضافه)'}, {'title': 'نان باگت (اضافه)'}, {'title': 'ساندویچ کالباس لیونر سرد'}, {'title': 'سس مایونز (اضافه)'}, {'title': 'نان باگت (اضافه)'}, {'title': 'نوشابه خانواده میرندا پرتقالی'}, {'title': 'ساندویچ سوسیس آلمانی'}]"
37260975.0,سوسیس ها سوخته و طعم خوبی نداشتن,"[{'title': 'ساندویچ خوراک بندری'}, {'title': 'نوشابه بطری میرندا پرتقالی'}]"
38726509.0,برای مادرم ساندویچ مرغ گرفتم گفت کمتر جایی مرغش ب دهنم خوشمزه میاد یکیش این بود,[{'title': 'ساندویچ مرغ'}]
42105622.0,من مدتی بود از این فست بود خرید نکرده بودم ولی واقعا کیفیت اومده پایین من دیگه از این فست فود خرید نمیکنم,"[{'title': 'رویال برگر'}, {'title': 'ساندویچ مرغ'}, {'title': 'سیب زمینی سرخ شده'}, {'title': 'نوشابه خانواده سون آپ'}]"
